veseliti se,to be happy
Prošlo je puno vremena,a long time has passed
Jedva,hardly/barely
Država,state
Zamrznut,frozen
Žestok,fierce
Izdržati,to withstand
Manje,less
Veza,connection
Ne možeš ih kriviti,You can't blame them
Koga bih krivio,Who would you blame?
Zaposliti,to employ
Dirati,to touch
uskoro ću biti gotov,soon I will be done
je li prsten skup,Is the ring expensive?
Ali već znam puno ljudi,But I already know a lot of people
ne. tek mjesec dana,No. only a month
živiš li već dugo ovdje,Have you lived here long?
odgovorite/molim Vas,Please reply
Naš deda je bolestan,Our grandfather is ill
njezina kreditna kartica je također nestala,Her credit card is also missing
karta,ticket
Ne mogu naći svoje ključeve,I can't find my keys
Ne dolazim jer je vrijeme tako loše,I'm not coming because the weather is so bad
Gdje je perilica rublja,Where is the washing machine?
Gdje je nogometno igralište,Where is the soccer field?
Stanujete li u Berlinu?,Do you live in Berlin?
Radi li on upravo?,Is he working right now?
Pristojni ljudi,Polite people
Radoznala žena,Curious woman
Odlazim zato jer je već kasno,I'm leaving because it's already late
zašto već odlazite?,why are you already leaving?
Ne ostajem jer moram još raditi,I'm not staying because I still have work to do
tužan,sad
Vijest,news
Pokušaj,attempt
Odjenuti,to dress
Novost,news
Med,honey
Držati,to hold
Zajedno,together
Glup,stupid
Kornjača,turtle
Kućni ljubimac,pet
Gazda,owner/master
Odgovornost,responsibility
Dobio si potvrdu,You've got confirmation
Udoban,comfortable
dovesti,to bring
Gađati,to shoot/aim
baciti,to throw
Šaliti se,to joke
Boja,color
Tama,darkness
Mekan,soft/tender
Oduševljen-oduševiti,enthusiastic-to thrill
Zgodan,handsome
večernja škola,evening school
Ljepo,nicely
ljepše,nicer
Očekivati,to expect
Oboje,both
Naručiti-narudžba,to order-order
Ostatak,rest
ostatci,remains
Prekoputa,across the street
Ispekati,to bake
Staviti,to put
Otišlo je u krivi sokak,It went the wrong way
Napasti,to attack
Pasti na pamet,to come to mind
Zakazati,to schedule
prekosutra,the day after tomorrow
Ponoviti,to repeat
Kako ti je na poslu?,How's work?
Prehladiti se-prehlađen,to catch a cold-having a cold
Mjeriti,to measure
Kao što vidiš,As you can see
Umjesto,instead of
Ne baš,not really
Opuštati se/Opuštajuć,to relax/relaxing
Recimo,let's say
Moguće,possible
Ranije,earlier
Kasnije,later
Izgubiti/Gubiti,to lose(misplace)/to lose
Pamet,intelligence
San,dream
Nahvaliti,to praise
Osim,except
Kvart/susjedstvo,neighborhood
Jeftin,cheap
Tulum-tulumariti,party-to party
Odabrati,to choose
Brati,to pick
Tema,topic
Ne brini se,don't worry / do not worry
Braniti se,to defend oneself
Trajati,to last/continue
leđa,back
Pretjerati-pretjerivati,to overdo/to exaggerate 
Ovo je kap koja je prelila čašu.,This is the last straw.
Uspavan,sleepy
Frizura,hairstyle
Povrijediti-Ozlijediti-raniti,to hurt-to injure-to wound
prekršiti,to violate (the law)
Ocjena,grade/evaluation
Zamotati,to wrap up
Razočaran/razočarati,disappointed-to disappoint
Obući se-oblačiti se,to get dressed-to dress
lisica,fox
Sjeta,harvest
Wrong,wrong
Hard,hard (opposed to soft)
Žito,wheat
Mišić,muscle
Ostaviti,to leave
